공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[캐치시큐] 백엔드(Java) 개발자 (경력/6년 이상) 모집,(주)오내피플,등록일 23/09/07,채용시,서울 마포구,경력 6~10년,학력무관,정규직,,"GCP, 아키텍쳐, Spring, SQL, API 외 등록일 23/09/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46535789&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[HR 딥테크 기업] 그레이비랩 Java Backend Developer 모집,(주)그레이비랩,수정일 23/09/25,~ 10/18(수),서울 강남구,경력3년↑,학력무관,정규직,,"GCP, Spring, SpringBoot, RestAPI, RDBMS 외 수정일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46601807&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
백엔드 엔지니어 (Python),(주)피플펀드컴퍼니,수정일 23/10/06,상시채용,서울 서초구,경력 2~10년,초대졸↑,정규직,,"GCP, Spring, SpringBoot, SQL, Python 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46665279&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
웹개발(JAVA 또는 PHP) 경력 채용,(주)나눔모바일,수정일 23/10/11,~ 11/09(목),경기 의정부시,신입,고졸↑,,,"GCP, Spring, SpringBoot, RestAPI, SQL 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46736686&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
클라우드 영업 담당자 영입,베스핀글로벌(주),수정일 23/09/21,채용시,서울 서초구,경력5년↑,대졸↑,정규직,,"GCP, 유지보수, PaaS, 클라우드, 영업 외 수정일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46626254&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=61478768-229d-4524-b981-d120a6f8862c
[넛지헬스케어] 데이터분석가 - 석사/박사,넛지헬스케어(주),수정일 23/09/26,~ 10/27(금),서울 강남구,경력무관,석사↑,정규직,,"풀스택, 헬스케어, SQL, Python, 모델링 외 수정일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46447795&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=61478768-229d-4524-b981-d120a6f8862c
BI / NGS 파이프라인 개발자 경력 수시채용,지니너스(주),수정일 23/08/29,채용시,서울 송파구,경력5년↑,대졸↑,정규직,,"GCP, 알고리즘, 유지보수, R, AWS 외 수정일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46458867&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=61478768-229d-4524-b981-d120a6f8862c
Backend developer (3년 이상),(주)메라키플레이스,등록일 23/09/21,상시채용,서울 서초구,경력 3~9년,학력무관,정규직,,"GCP, AWS, Django, 클라우드, 인프라 외 등록일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46631751&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=61478768-229d-4524-b981-d120a6f8862c
솔루션 및 프로젝트 개발자(팀장) 채용,(주)에스엘솔루션,수정일 23/10/11,채용시,서울 마포구,경력10년↑,학력무관,정규직,,"GCP, 웹마스터, Spring, SpringBoot, PostgreSQL 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46580184&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=61478768-229d-4524-b981-d120a6f8862c
클라우드 영업 및 영업지원,디딤365(주),등록일 23/10/05,채용시,서울 금천구,신입·경력,초대졸↑,정규직,,"GCP, 유지보수, AWS, 클라우드, Azure 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46692589&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=61478768-229d-4524-b981-d120a6f8862c
