공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
R&D 연구직 신입/경력 채용,(주)코맥스,수정일 23/09/19,~ 10/15(일),경기 성남시 중원구,신입·경력,초대졸↑,정규직,,"R&D, 연구원, 전자 수정일 23/09/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46590439&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
[면접비] 머신비전 S/W 개발자 영입(경기/부산),(주)트윔,등록일 23/09/25,~ 10/25(수),부산 부산진구,경력5년↑,초대졸↑,정규직,,"머신러닝, 광학/렌즈, SpringBoot, H/W, MFC 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46649036&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
[병역특례 전문연구요원] Robot Vision 엔지니어,(주)테스트웍스,수정일 23/07/07,상시채용,서울전체,신입·경력,석사↑,정규직,,"머신러닝, AI(인공지능), Python, Matlab, Pytorch 외 수정일 23/07/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45111712&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
Data Scientist (전문연구요원 가능),(주)원프레딕트,등록일 23/09/14,상시채용,서울 강남구,경력 2~10년,대졸↑,정규직,,"머신러닝, SQL, Python, OracleDB, SE(시스템엔지니어) 외 등록일 23/09/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46584717&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
REACT · PHP · PYTHON 개발자 채용,행복쇼핑(주),수정일 23/10/11,~ 11/30(목),서울 영등포구,경력3년↑,초대졸↑,정규직,,"머신러닝, 풀스택, ETL, Python, Android 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46689679&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
(주)스카이오토넷 - 영상처리 개발자 (병역특례-전문연구요원),(주)스카이오토넷,등록일 23/10/10,~ 12/08(금),서울 서초구,신입·경력,석사↑,정규직·전문연구요원,,"머신러닝, 유지보수, Python, 정보통신, IoT 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46724059&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
[전문연구요원 가능] Machine Learning Researcher - Senior,세이지리서치(주),등록일 23/08/16,상시채용,서울 서초구,경력3년↑,석사↑,정규직,,"머신러닝, Git, DevOps, Linux, Azure 외 등록일 23/08/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46365782&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
[CJ그룹 계열사] Diware 하반기 IT직무 경력사원 공개채용,디아이웨어(주),수정일 23/10/11,~ 10/15(일),서울 용산구,경력1년↑,학력무관,정규직,,"머신러닝, Android, IDC, ASP, IoT 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46685813&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
그루비사업부 프론트엔드 개발자,(주)플래티어,등록일 23/09/15,상시채용,서울전체,경력 5~10년,학력무관,정규직,,"Spring, SpringBoot, Redux, RestAPI, SaaS 외 등록일 23/09/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46592928&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
[슈프리마] BioSign 알고리즘 개발자 모집,(주)슈프리마,수정일 23/10/05,채용시,경기 성남시 분당구,경력 3~10년,대졸↑,정규직,,"알고리즘, R, S/W, 영상처리, AWS 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46677860&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
[인텔리전스랩스] 공통웹개발지원팀 PM,(주)넥슨,등록일 23/10/10,채용시,경기 성남시 분당구,경력무관,학력무관,정규직,,"PM(프로젝트매니저), 게임 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46725125&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=032c9304-b70d-4704-96be-a78ad25cada3
Java 백엔드 개발자 (5년 이상) 모집,(주)라텔앤드파트너즈,수정일 23/10/11,상시채용,서울 중구,경력5년↑,학력무관,정규직,,"머신러닝, MSSQL, Java, 솔루션, Spring 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46737856&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=1cfe8dc6-5272-490c-82ab-415f5faebb45
Google Cloud Business 채용,메가존소프트(주),등록일 23/09/18,~ 11/17(금),서울 강남구,경력무관,학력무관,정규직,,"사업관리, 회계, PostgreSQL, ETL, SQL 외 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46598158&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=1cfe8dc6-5272-490c-82ab-415f5faebb45
