공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[마곡/급여인상] LG전자(주) 비용처리/행정사무 채용,(주)서울커뮤니케이션,수정일 23/10/11,~ 10/19(목),서울전체,경력무관,초대졸↑,파견직,"3,150 만원","경리, 경리사무원, 세무사, 전산회계, 회계사 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46621690&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[브랜드 스타트업] 건기식 상품기획개발/논문연구/분석/작문,(주)온누리아이코리아,수정일 23/09/05,채용시,서울 강남구,경력무관,대졸↑,정규직·계약직,,"R&D, R&D기획, 기술연구, 식품연구, 의약외품연구 외 수정일 23/09/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46485956&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
"[브랜드 스타트업] 콘텐츠, 상세페이지 디자인 단기/인턴 채용",(주)온누리아이코리아,수정일 23/10/05,채용시,서울 강남구,경력무관,학력무관,계약직·인턴직,"10,000 원","광고디자인, 그래픽디자인, 디지털디자인, 모바일디자인, 배너디자인 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46623861&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
"[브랜드 스타트업] 그래픽, 웹디자인 3개월 계약직/인턴 채용",(주)온누리아이코리아,등록일 23/09/26,~ 10/26(목),서울 강남구,경력무관,학력무관,계약직·인턴직,"10,000 원","광고디자인, 그래픽디자인, 디지털디자인, 모바일디자인, 배너디자인 외 등록일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46655014&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
"외국계 반도체장비사 ALD, CVD, ETCH, Metal, Depo 공정엔지니어",라인서치,수정일 23/10/11,~ 11/09(목),경기 성남시 분당구,경력 3~10년,대졸↑,정규직,,"설비OP, 공정엔지니어, 기술엔지니어, 설계엔지니어, 공정설계 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46719177&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[에너지 IT기업 해줌] 백엔드 개발자 채용,(주)해줌,수정일 23/09/11,상시채용,서울전체,경력 5~20년,초대졸↑,정규직,,"DBA, OracleDB, RDBMS, 빅데이터, 백엔드/서버개발 외 수정일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=40501526&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[Altair Korea/외국계] 데이터 분석 컨설턴트,알테어엔지니어링(주),수정일 23/10/10,~ 12/09(토),경기 성남시 분당구,경력3년↑,대졸↑,정규직,,"데이터엔지니어, S/W, 머신러닝, 모델링, Python 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46723834&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
데이터 사이언티스트 (에너지 IT),(주)에너닷,수정일 23/08/07,상시채용,서울 서초구,신입·경력,대졸↑,정규직,,"데이터시각화, 데이터마이닝, 빅데이터, 백엔드/서버개발, 웹개발 외 수정일 23/08/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46279408&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[ASML] IT End User Service Engineer,에이에스엠엘코리아(주),등록일 23/10/04,~ 10/18(수),경기 화성시,경력 5~10년,대졸↑,정규직,,"네트워크, OA, Windows, Linux, 반도체 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46684893&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
"Data Engineer (Python, SQL)",(주)이랜드이노플,등록일 23/10/10,상시채용,서울전체,경력 3~7년,대졸↑,정규직,,"데이터시각화, 데이터마이닝, 빅데이터, SE(시스템엔지니어), Python 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46726552&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
