공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[수원] SW 테스트 엔지니어 (QA) 신입 채용,(주)인피닉,수정일 23/10/04,~ 10/31(화),경기 수원시 영통구,신입,학력무관,정규직,,"QA/테스터, 임베디드, S/W, C언어, Python 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46690326&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=8bc47d41-744b-4664-8086-dd3b6618ddf9
C# 개발자(시뮬레이션 개발팀) - 판교,슈어소프트테크(주),등록일 23/09/22,상시채용,경기전체,신입·경력,초대졸↑,정규직,,"SE(시스템엔지니어), S/W, C#, Linux, Python 외 등록일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46633729&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=8bc47d41-744b-4664-8086-dd3b6618ddf9
[수원] SW/HW 테스트 엔지니어 (QA) 신입 채용,(주)인피닉,수정일 23/10/11,~ 11/05(일),경기 수원시 영통구,신입,고졸↑,정규직,,"QA/테스터, H/W, S/W, 자율주행, IoT 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46712356&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=8bc47d41-744b-4664-8086-dd3b6618ddf9
그래픽스 영상처리 SW 개발자 채용,(주)아이나비시스템즈,수정일 23/05/10,상시채용,경기전체,경력 3~15년,초대졸↑,정규직,,"앱개발, SE(시스템엔지니어), S/W, Android, C++ 외 수정일 23/05/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44664440&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=8bc47d41-744b-4664-8086-dd3b6618ddf9
[양재/직계약] 대기업계열사 IT Helpdesk 채용,(주)맨파워그룹코리아,수정일 23/09/27,채용시,서울 서초구,경력 1~4년,초대졸↑,계약직,,"기술지원, 데이터엔지니어, 백엔드/서버개발, 유지보수, 정보보안 외 수정일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46659591&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=8bc47d41-744b-4664-8086-dd3b6618ddf9
C# 개발자 (시뮬레이션개발팀) - 대전,슈어소프트테크(주),수정일 23/04/17,상시채용,대전전체,신입·경력,초대졸↑,정규직,,"SE(시스템엔지니어), S/W, C#, Linux, Python 외 수정일 23/04/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44607788&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=8bc47d41-744b-4664-8086-dd3b6618ddf9
SAS사업부 SW(PC) 채용,(주)유진로봇,등록일 23/07/31,상시채용,인천 연수구,경력 3~18년,초대졸↑,정규직,,"S/W, C#, S/W, 기계설계, 제조 외 등록일 23/07/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46254315&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=bd8d23b6-c755-4638-9516-4817f4ef8164
[실외배송로봇 연구개발] - Local Navigation Engineer,(주)로보티즈,수정일 23/10/05,~ 10/16(월),서울 강서구,경력무관,대졸↑,정규직·전문연구요원,,"S/W, 알고리즘, 영상처리, 자율주행, C++ 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46372758&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=bd8d23b6-c755-4638-9516-4817f4ef8164
시스템 검증(시스템 검증전략팀)_의왕,슈어소프트테크(주),등록일 23/09/25,상시채용,경기전체,신입·경력,초대졸↑,정규직,,"S/W, C언어, S/W, 자동차, 자율주행 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46647109&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=bd8d23b6-c755-4638-9516-4817f4ef8164
개발본부 제어 엔지니어,(주)유진로봇,수정일 23/09/25,~ 10/31(화),인천 연수구,경력 4~10년,대졸↑,정규직,,"SE(시스템엔지니어), 임베디드, 펌웨어, H/W, C++ 외 수정일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42465364&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=bd8d23b6-c755-4638-9516-4817f4ef8164
