공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
"[코스닥상장사] 엑셈 데이터 사이언티스트 (경력 5년이상, 과장급)",(주)엑셈,수정일 23/08/29,상시채용,서울 강서구,경력 5~10년,학력무관,정규직,,"데이터분석가, 데이터엔지니어, SE(시스템엔지니어), 데이터마이닝, 데이터시각화 외 수정일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45341375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[Unannounced Project] ML Engineer (데이터 사이언티스트),일렉트로닉아츠코리아유한책임회사,수정일 23/09/21,상시채용,서울 강남구,경력 6~10년,학력무관,정규직,,"데이터분석가, 딥러닝, 머신러닝, 블록체인, 빅데이터 외 수정일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45996412&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터 사이언티스트 모집,(주)더블미디어,등록일 23/08/08,상시채용,서울 강남구,경력 2~10년,학력무관,정규직,,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, DBA 외 등록일 23/08/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46315366&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터 사이언티스트(비전/이미지),아이오크롭스(주),수정일 23/10/12,상시채용,서울 서초구,경력 3~15년,대졸↑,정규직,,"데이터분석가, SE(시스템엔지니어), 데이터마이닝, 데이터시각화, 딥러닝 외 수정일 23/10/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46503860&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
하반기 R&D 대규모 채용 (데이터분석/사이언티스트),(주)반프,등록일 23/09/11,채용시,서울 강남구,경력무관,대졸↑,정규직,,"데이터분석가, 데이터엔지니어, 데이터라벨링, 데이터마이닝, 데이터시각화 외 등록일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46548178&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
[부피 알고리즘] 데이터 사이언티스트,(주)안티그래비티,수정일 23/06/09,상시채용,서울 성동구,경력 3~20년,석사↑,정규직,,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, 딥러닝 외 수정일 23/06/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=42913843&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터 사이언티스트,(주)비포플레이,등록일 22/12/08,상시채용,서울전체,경력 5~8년,학력무관,정규직,,"데이터분석가, 백엔드/서버개발, 웹개발, 딥러닝, 머신러닝 외 등록일 22/12/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44598995&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터 사이언티스트 채용,(주)빌트온,등록일 23/10/10,~ 11/09(목),서울 금천구,경력무관,대졸↑,정규직,,"빅데이터, 모델링, Python, SQL, DataMining 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46725987&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터 사이언티스트,(주)베이글코드,수정일 23/10/04,~ 10/31(화),서울 강남구,경력3년↑,학력무관,,,"머신러닝, 모델링, AI(인공지능), Python, Spark 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46682575&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
데이터 사이언티스트 (에너지 IT),(주)에너닷,수정일 23/08/07,상시채용,서울 서초구,신입·경력,대졸↑,정규직,,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 데이터마이닝, 데이터시각화 외 수정일 23/08/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46279408&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=9282315d-0191-4fa5-b7c6-57cc86a8a67c
