공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
해외홍보마케팅 인턴/신입/경력 직원 모집,(주)미디어링스커뮤니케이션,수정일 23/08/16,채용시,서울 마포구,경력무관,대졸↑,정규직·계약직,,"블로그마케팅, 인플루언서마케팅, 행사기획, SNS마케팅, 글로벌마케팅 외 수정일 23/08/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46359285&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[최대 270만/미국버거체인점] 파이브가이즈 스탭 대규모 채용,에이스휴먼파워(주),수정일 23/09/12,상시채용,서울 서초구,경력무관,고졸↑,정규직·계약직,"3,300 만원","캐셔, 판매직, 식품/음료판매, 고객관리, 매장관리 외 수정일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46560412&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[젠큐릭스] 해외사업개발 담당자 채용,(주)젠큐릭스,등록일 23/10/04,~ 11/03(금),서울 구로구,경력2년↑,대졸↑,정규직,,"해외시장개척, 해외영업, 사업개발, 기획, 영업 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46686070&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
"키 어카운트 매니저 (영업, 마케팅) 신입 및 경력 채용",주식회사호도라(Hodora),수정일 23/09/14,~ 10/13(금),서울 강남구,신입·경력,초대졸↑,정규직,,"영업관리, 영업마케팅, 영업전략, IT영업, SI영업 외 수정일 23/09/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46579559&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[StyleKorean] B2C 국가별 자사몰 MD/AMD 채용,(주)실리콘투,등록일 23/09/22,~ 10/22(일),경기 성남시 분당구,경력무관,학력무관,정규직,,"사이트관리, 해외영업, 기획MD, 자사몰관리, 프로모션기획 외 등록일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46637410&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
프랑스 전문 유학원 사무직 직원 채용,에펠 유학원,수정일 23/10/08,~ 12/05(화),서울 마포구,경력1년↑,학력무관,정규직·계약직,,"사무직, 총무, 내방객응대, 사무보조, 사무행정 외 수정일 23/10/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46713849&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[링고글로벌] BM (Brand Management) 인재 채용,(주)링고글로벌,등록일 23/08/22,채용시,서울 강남구,신입·경력,대졸↑,정규직,,"영업관리, 영업MD, 온라인MD, 유통MD, 매출관리 외 등록일 23/08/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46415038&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[네오바이오텍] 해외영업 신입/경력직 채용 모집 공고,(주)네오바이오텍,수정일 23/09/15,~ 11/12(일),강원 원주시,경력1년↑,학력무관,정규직,,"경영기획, 경영분석, 경영컨설팅, 경영혁신(PI), 예산관리 외 수정일 23/09/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46576033&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
생산본부/본사 각 분야 기능직 및 사무직 사원 채용,(주)와이지-원,수정일 23/10/08,~ 11/06(월),인천 계양구,신입·경력,학력무관,정규직,,"SAP, ABAP, C#, Java, 전산회계 외 수정일 23/10/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46695016&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[온라인강사 채용] 해외국제학교 IBㆍAPㆍA-levelㆍIGCSEㆍMYP,AQUVEST LANGUAGE TRAINING,등록일 23/08/12,상시채용,아시아·중동 아랍에미레이트연합국,경력무관,학력무관,파트,,"온라인교육, 경제, 과학, 논술/글쓰기, 미술 외 등록일 23/08/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46346414&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
